state,stage,date,students
Malaysia,primary,1/1/2017,2689810
Malaysia,primary,1/1/2018,2694779
Malaysia,primary,1/1/2019,2729704
Malaysia,primary,1/1/2020,2741995
Malaysia,primary,1/1/2021,2766202
Malaysia,primary,1/1/2022,2770015
Malaysia,secondary,1/1/2017,2133323
Malaysia,secondary,1/1/2018,1947606
Malaysia,secondary,1/1/2019,1930241
Malaysia,secondary,1/1/2020,1920485
Malaysia,secondary,1/1/2021,1959787
Malaysia,secondary,1/1/2022,1984995
Malaysia,tertiary,1/1/2018,128012
Malaysia,tertiary,1/1/2019,115536
Malaysia,tertiary,1/1/2020,68296
Malaysia,tertiary,1/1/2021,64904
Malaysia,tertiary,1/1/2022,66770
Johor,primary,1/1/2017,326709
Johor,primary,1/1/2018,328093
Johor,primary,1/1/2019,331130
Johor,primary,1/1/2020,331190
Johor,primary,1/1/2021,331877
Johor,primary,1/1/2022,331205
Johor,secondary,1/1/2017,262069
Johor,secondary,1/1/2018,240234
Johor,secondary,1/1/2019,236489
Johor,secondary,1/1/2020,236802
Johor,secondary,1/1/2021,238814
Johor,secondary,1/1/2022,238491
Johor,tertiary,1/1/2018,13666
Johor,tertiary,1/1/2019,12989
Johor,tertiary,1/1/2020,7064
Johor,tertiary,1/1/2021,6705
Johor,tertiary,1/1/2022,6938
Kedah,primary,1/1/2017,190028
Kedah,primary,1/1/2018,189797
Kedah,primary,1/1/2019,189969
Kedah,primary,1/1/2020,189170
Kedah,primary,1/1/2021,189245
Kedah,primary,1/1/2022,188524
Kedah,secondary,1/1/2017,159612
Kedah,secondary,1/1/2018,143535
Kedah,secondary,1/1/2019,140346
Kedah,secondary,1/1/2020,139192
Kedah,secondary,1/1/2021,141216
Kedah,secondary,1/1/2022,143591
Kedah,tertiary,1/1/2018,9162
Kedah,tertiary,1/1/2019,8808
Kedah,tertiary,1/1/2020,5103
Kedah,tertiary,1/1/2021,4638
Kedah,tertiary,1/1/2022,4941
Kelantan,primary,1/1/2017,171839
Kelantan,primary,1/1/2018,171406
Kelantan,primary,1/1/2019,172033
Kelantan,primary,1/1/2020,170674
Kelantan,primary,1/1/2021,171563
Kelantan,primary,1/1/2022,172145
Kelantan,secondary,1/1/2017,130372
Kelantan,secondary,1/1/2018,115720
Kelantan,secondary,1/1/2019,121602
Kelantan,secondary,1/1/2020,109486
Kelantan,secondary,1/1/2021,111073
Kelantan,secondary,1/1/2022,113329
Kelantan,tertiary,1/1/2018,9766
Kelantan,tertiary,1/1/2020,5101
Kelantan,tertiary,1/1/2021,4837
Kelantan,tertiary,1/1/2022,4776
Melaka,primary,1/1/2017,81086
Melaka,primary,1/1/2018,82114
Melaka,primary,1/1/2019,83634
Melaka,primary,1/1/2020,84174
Melaka,primary,1/1/2021,85433
Melaka,primary,1/1/2022,86269
Melaka,secondary,1/1/2017,68243
Melaka,secondary,1/1/2018,62183
Melaka,secondary,1/1/2019,61257
Melaka,secondary,1/1/2020,61379
Melaka,secondary,1/1/2021,62331
Melaka,secondary,1/1/2022,62385
Melaka,tertiary,1/1/2018,4018
Melaka,tertiary,1/1/2019,4009
Melaka,tertiary,1/1/2020,2157
Melaka,tertiary,1/1/2021,1917
Melaka,tertiary,1/1/2022,2233
Negeri Sembilan,primary,1/1/2017,101791
Negeri Sembilan,primary,1/1/2018,102539
Negeri Sembilan,primary,1/1/2019,104329
