state,stage,type,schools
Malaysia,primary,Sekolah Rendah Kerajaan,7776
Malaysia,primary,Sekolah Rendah Kerajaan,7774
Malaysia,primary,Sekolah Rendah Kerajaan,7773
Malaysia,primary,Sekolah Rendah Kerajaan,7780
Malaysia,primary,Sekolah Rendah Kerajaan,7780
Malaysia,primary,Sekolah Rendah Kerajaan,7778
Malaysia,secondary,Sekolah Menengah Kerajaan,2416
Malaysia,secondary,Sekolah Menengah Kerajaan,2433
Malaysia,secondary,Sekolah Menengah Kerajaan,2439
Malaysia,secondary,Sekolah Menengah Kerajaan,2440
Malaysia,secondary,Sekolah Menengah Kerajaan,2444
Malaysia,secondary,Sekolah Menengah Kerajaan,2452
Malaysia,tertiary,IPTA,20
Malaysia,tertiary,IPTA,20
Malaysia,tertiary,IPTA,20
Malaysia,tertiary,IPTA,20
Malaysia,tertiary,IPTA,20
Malaysia,tertiary,IPTA,20
Johor,primary,Sekolah Rendah Kerajaan,906
Johor,primary,Sekolah Rendah Kerajaan,907
Johor,primary,Sekolah Rendah Kerajaan,907
Johor,primary,Sekolah Rendah Kerajaan,906
Johor,primary,Sekolah Rendah Kerajaan,906
Johor,primary,Sekolah Rendah Kerajaan,908
Johor,secondary,Sekolah Menengah Kerajaan,277
Johor,secondary,Sekolah Menengah Kerajaan,280
Johor,secondary,Sekolah Menengah Kerajaan,282
Johor,secondary,Sekolah Menengah Kerajaan,283
Johor,secondary,Sekolah Menengah Kerajaan,284
Johor,secondary,Sekolah Menengah Kerajaan,284
Johor,tertiary,IPTA,2
Johor,tertiary,IPTA,2
Johor,tertiary,IPTA,2
Johor,tertiary,IPTA,2
Johor,tertiary,IPTA,2
Johor,tertiary,IPTA,2
Kedah,primary,Sekolah Rendah Kerajaan,546
Kedah,primary,Sekolah Rendah Kerajaan,547
Kedah,primary,Sekolah Rendah Kerajaan,547
Kedah,primary,Sekolah Rendah Kerajaan,548
Kedah,primary,Sekolah Rendah Kerajaan,548
Kedah,primary,Sekolah Rendah Kerajaan,548
Kedah,secondary,Sekolah Menengah Kerajaan,201
Kedah,secondary,Sekolah Menengah Kerajaan,201
Kedah,secondary,Sekolah Menengah Kerajaan,202
Kedah,secondary,Sekolah Menengah Kerajaan,202
Kedah,secondary,Sekolah Menengah Kerajaan,203
Kedah,secondary,Sekolah Menengah Kerajaan,204
Kedah,tertiary,IPTA,1
Kedah,tertiary,IPTA,1
Kedah,tertiary,IPTA,1
Kedah,tertiary,IPTA,1
Kedah,tertiary,IPTA,1
Kedah,tertiary,IPTA,1
Kelantan,primary,Sekolah Rendah Kerajaan,418
Kelantan,primary,Sekolah Rendah Kerajaan,418
Kelantan,primary,Sekolah Rendah Kerajaan,418
Kelantan,primary,Sekolah Rendah Kerajaan,418
Kelantan,primary,Sekolah Rendah Kerajaan,418
Kelantan,primary,Sekolah Rendah Kerajaan,418
Kelantan,secondary,Sekolah Menengah Kerajaan,175
Kelantan,secondary,Sekolah Menengah Kerajaan,177
Kelantan,secondary,Sekolah Menengah Kerajaan,177
Kelantan,secondary,Sekolah Menengah Kerajaan,177
Kelantan,secondary,Sekolah Menengah Kerajaan,178
Kelantan,secondary,Sekolah Menengah Kerajaan,178
Kelantan,tertiary,IPTA,1
Kelantan,tertiary,IPTA,1
Kelantan,tertiary,IPTA,1
Kelantan,tertiary,IPTA,1
Kelantan,tertiary,IPTA,1
Kelantan,tertiary,IPTA,1
