state,date,total_schools,total_population
Johor,1/1/2017,1185,3697000
Johor,1/1/2018,1189,3749400
Johor,1/1/2019,1191,3761200
Johor,1/1/2020,1191,4009700
Johor,1/1/2021,1192,4020000
Johor,1/1/2022,1194,4028300
Kedah,1/1/2017,748,2143900
Kedah,1/1/2018,749,2163000
Kedah,1/1/2019,750,2173700
Kedah,1/1/2020,751,2131400
Kedah,1/1/2021,752,2151700
Kedah,1/1/2022,753,2163100
Kelantan,1/1/2017,594,1829000
Kelantan,1/1/2018,596,1860500
Kelantan,1/1/2019,596,1883800
Kelantan,1/1/2020,596,1792500
Kelantan,1/1/2021,597,1812300
Kelantan,1/1/2022,597,1830600
Melaka,1/1/2017,315,913100
Melaka,1/1/2018,315,922400
Melaka,1/1/2019,316,928400
Melaka,1/1/2020,316,998400
Melaka,1/1/2021,316,1004500
Melaka,1/1/2022,317,1008600
Negeri Sembilan,1/1/2017,476,1114000
Negeri Sembilan,1/1/2018,476,1122900
Negeri Sembilan,1/1/2019,476,1126200
Negeri Sembilan,1/1/2020,478,1200000
Negeri Sembilan,1/1/2021,478,1204200
Negeri Sembilan,1/1/2022,480,1207900
Pahang,1/1/2017,738,1647000
Pahang,1/1/2018,739,1664700
Pahang,1/1/2019,741,1671400
Pahang,1/1/2020,742,1591300
Pahang,1/1/2021,742,1601500
Pahang,1/1/2022,742,1614300
Perak,1/1/2017,1101,2493200
Perak,1/1/2018,1103,2503500
Perak,1/1/2019,1103,2508800
Perak,1/1/2020,1103,2496000
Perak,1/1/2021,1103,2515800
Perak,1/1/2022,1106,2514400
Perlis,1/1/2017,105,252000
Perlis,1/1/2018,105,253500
Perlis,1/1/2019,105,254000
Perlis,1/1/2020,105,284900
Perlis,1/1/2021,105,287600
Perlis,1/1/2022,105,289800
Penang,1/1/2017,399,1744100
Penang,1/1/2018,400,1762800
Penang,1/1/2019,400,1768800
Penang,1/1/2020,400,1740400
Penang,1/1/2021,401,1740000
Penang,1/1/2022,399,1740900
Sabah,1/1/2017,1294,3855900
Sabah,1/1/2018,1297,3898400
Sabah,1/1/2019,1297,3904400
Sabah,1/1/2020,1298,3418800
Sabah,1/1/2021,1297,3412600
Sabah,1/1/2022,1297,3414900
Sarawak,1/1/2017,1455,2766300
Sarawak,1/1/2018,1458,2791700
Sarawak,1/1/2019,1459,2806000
Sarawak,1/1/2020,1459,2453700
Sarawak,1/1/2021,1459,2465600
Sarawak,1/1/2022,1459,2473500
Selangor,1/1/2017,940,6380700
Selangor,1/1/2018,943,6475000
Selangor,1/1/2019,943,6506100
Selangor,1/1/2020,944,6994400
Selangor,1/1/2021,945,7014700
Selangor,1/1/2022,944,7050300
Terengganu,1/1/2017,504,1208000
Terengganu,1/1/2018,505,1228300
Terengganu,1/1/2019,506,1244500
Terengganu,1/1/2020,506,1149400
Terengganu,1/1/2021,507,1170700
Terengganu,1/1/2022,508,1186600
Kuala Lumpur,1/1/2017,306,1793200
Kuala Lumpur,1/1/2018,300,1790000
Kuala Lumpur,1/1/2019,297,1782500
Kuala Lumpur,1/1/2020,297,1982100
Kuala Lumpur,1/1/2021,296,1964000
Kuala Lumpur,1/1/2022,294,1961200
Labuan,1/1/2017,27,97600
Labuan,1/1/2018,27,99000
Labuan,1/1/2019,27,99300
Labuan,1/1/2020,27,95100
Labuan,1/1/2021,27,96000
Labuan,1/1/2022,28,96900
Putrajaya,1/1/2017,25,87500
Putrajaya,1/1/2018,25,97200
Putrajaya,1/1/2019,25,103700
Putrajaya,1/1/2020,27,109200
Putrajaya,1/1/2021,27,115200
Putrajaya,1/1/2022,27,117000
